# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE262394|cite_seq|Mus musculus|3|GSE262394_RAW.tar(46MB), GSE262394_README_ADT-HTO.txt(854B), GSE262394_scRNA_seq_CD4_CD8_T_Cells_Seurat_Object.rds.gz(1.9GB)|cancer,immunology,development,hematopoiesis|B cell leukemia co-opts a hematopoietic stem cell-CD4 T cell tolerance program that facilitates relapse [CITE-Seq]|Despite advances immune therapies leukemic still major obstacle long-term survival murine model B-ALL hematopoetic HSC driven induce immune-suppressive type-1 regulatory Tr1 cells Tr1s protects|multiomics
GSE283596|other_multiomics|Mus musculus|4|GSE283596_RAW.tar(3.3GB)|immunology,development,epigenetics,hematopoiesis,microbiology,gene_regulation|cMaf supports Zeb2 expression for primitive hematopoiesis (Multiome)|Tissue-resident macrophages TRMs essential tissue homeostasis play key disease pathology originate distinct waves hematopoietic progenitors transient-definitive definitive loss 165kb enhancer impairs|multiomics
GSE305146|other_multiomics|Homo sapiens|92|GSE305146_B10C1Q_barcodes.tsv.gz(93KB), GSE305146_B10C1Q_features.tsv.gz(2MB), GSE305146_B10C1Q_matrix.mtx.gz(174MB), GSE305146_B10D1N_barcodes.tsv.gz(15KB), GSE305146_B10D1N_features.tsv.gz(1MB), GSE305146_B10D1N_matrix.mtx.gz(12MB), GSE305146_B11C1A_barcodes.tsv.gz(22KB), GSE305146_B11C1A_features.tsv.gz(2MB), GSE305146_B11C1A_matrix.mtx.gz(93MB), GSE305146_B11C1C_barcodes.tsv.gz(58KB), GSE305146_B11C1C_features.tsv.gz(3MB), GSE305146_B11C1C_matrix.mtx.gz(196MB), GSE305146_B11C2H_barcodes.tsv.gz(33KB), GSE305146_B11C2H_features.tsv.gz(2MB), GSE305146_B11C2H_matrix.mtx.gz(163MB), GSE305146_B11D1B_barcodes.tsv.gz(7KB), GSE305146_B11D1B_features.tsv.gz(1MB), GSE305146_B11D1B_matrix.mtx.gz(19MB), GSE305146_B11D1E_barcodes.tsv.gz(18KB), GSE305146_B11D1E_features.tsv.gz(2MB), GSE305146_B11D1E_matrix.mtx.gz(32MB), GSE305146_B11D2F_barcodes.tsv.gz(35KB), GSE305146_B11D2F_features.tsv.gz(2MB), GSE305146_B11D2F_matrix.mtx.gz(87MB), GSE305146_B11D2G_barcodes.tsv.gz(28KB), GSE305146_B11D2G_features.tsv.gz(2MB), GSE305146_B11D2G_matrix.mtx.gz(62MB), GSE305146_B12C1A_barcodes.tsv.gz(35KB), GSE305146_B12C1A_features.tsv.gz(1MB), GSE305146_B12C1A_matrix.mtx.gz(50MB), GSE305146_B12C2G_barcodes.tsv.gz(61KB), GSE305146_B12C2G_features.tsv.gz(2MB), GSE305146_B12C2G_matrix.mtx.gz(153MB), GSE305146_B12C3B_barcodes.tsv.gz(39KB), GSE305146_B12C3B_features.tsv.gz(2MB), GSE305146_B12C3B_matrix.mtx.gz(101MB), GSE305146_B12C4E_barcodes.tsv.gz(44KB), GSE305146_B12C4E_features.tsv.gz(1MB), GSE305146_B12C4E_matrix.mtx.gz(70MB), GSE305146_B12D1F_barcodes.tsv.gz(72KB), GSE305146_B12D1F_features.tsv.gz(2MB), GSE305146_B12D1F_matrix.mtx.gz(169MB), GSE305146_B12D2D_barcodes.tsv.gz(36KB), GSE305146_B12D2D_features.tsv.gz(2MB), GSE305146_B12D2D_matrix.mtx.gz(65MB), GSE305146_B12D3C_barcodes.tsv.gz(51KB), GSE305146_B12D3C_features.tsv.gz(3MB), GSE305146_B12D3C_matrix.mtx.gz(341MB), GSE305146_B12D4H_barcodes.tsv.gz(11KB), GSE305146_B12D4H_features.tsv.gz(1MB), GSE305146_B12D4H_matrix.mtx.gz(6MB), GSE305146_B13C1_barcodes.tsv.gz(33KB), GSE305146_B13C1_features.tsv.gz(1MB), GSE305146_B13C1_matrix.mtx.gz(75MB), GSE305146_B13C2C_barcodes.tsv.gz(24KB), GSE305146_B13C2C_features.tsv.gz(2MB), GSE305146_B13C2C_matrix.mtx.gz(52MB), GSE305146_B13D1_barcodes.tsv.gz(41KB), GSE305146_B13D1_features.tsv.gz(2MB), GSE305146_B13D1_matrix.mtx.gz(124MB), GSE305146_B13D2D_barcodes.tsv.gz(31KB), GSE305146_B13D2D_features.tsv.gz(1MB), GSE305146_B13D2D_matrix.mtx.gz(50MB), GSE305146_B13D3G_barcodes.tsv.gz(27KB), GSE305146_B13D3G_features.tsv.gz(1MB), GSE305146_B13D3G_matrix.mtx.gz(21MB), GSE305146_B13D3H_barcodes.tsv.gz(24KB), GSE305146_B13D3H_features.tsv.gz(2MB), GSE305146_B13D3H_matrix.mtx.gz(57MB), GSE305146_B13D4F_barcodes.tsv.gz(26KB), GSE305146_B13D4F_features.tsv.gz(1MB), GSE305146_B13D4F_matrix.mtx.gz(49MB), GSE305146_B14C1G_barcodes.tsv.gz(32KB), GSE305146_B14C1G_features.tsv.gz(2MB), GSE305146_B14C1G_matrix.mtx.gz(145MB), GSE305146_B14D1H_barcodes.tsv.gz(1KB), GSE305146_B14D1H_features.tsv.gz(2MB), GSE305146_B14D1H_matrix.mtx.gz(2MB), GSE305146_B15C1H_barcodes.tsv.gz(2KB), GSE305146_B15C1H_features.tsv.gz(1MB), GSE305146_B15C1H_matrix.mtx.gz(2MB), GSE305146_B15C1L_barcodes.tsv.gz(28KB), GSE305146_B15C1L_features.tsv.gz(1MB), GSE305146_B15C1L_matrix.mtx.gz(20MB), GSE305146_B15D1K_barcodes.tsv.gz(19KB), GSE305146_B15D1K_features.tsv.gz(1MB), GSE305146_B15D1K_matrix.mtx.gz(16MB), GSE305146_B15D1M_barcodes.tsv.gz(48KB), GSE305146_B15D1M_features.tsv.gz(2MB), GSE305146_B15D1M_matrix.mtx.gz(67MB), GSE305146_B16C1H_barcodes.tsv.gz(75KB), GSE305146_B16C1H_features.tsv.gz(1MB), GSE305146_B16C1H_matrix.mtx.gz(126MB), GSE305146_B16D1L_barcodes.tsv.gz(55KB), GSE305146_B16D1L_features.tsv.gz(1MB), GSE305146_B16D1L_matrix.mtx.gz(149MB), GSE305146_B17C1J_barcodes.tsv.gz(19KB), GSE305146_B17C1J_features.tsv.gz(1MB), GSE305146_B17C1J_matrix.mtx.gz(35MB), GSE305146_B17C2L_barcodes.tsv.gz(4KB), GSE305146_B17C2L_features.tsv.gz(1MB), GSE305146_B17C2L_matrix.mtx.gz(5MB), GSE305146_B17C2M_barcodes.tsv.gz(12KB), GSE305146_B17C2M_features.tsv.gz(1MB), GSE305146_B17C2M_matrix.mtx.gz(18MB), GSE305146_B17D1K_barcodes.tsv.gz(32KB), GSE305146_B17D1K_features.tsv.gz(1MB), GSE305146_B17D1K_matrix.mtx.gz(64MB), GSE305146_B17D2F_barcodes.tsv.gz(2KB), GSE305146_B17D2F_features.tsv.gz(2MB), GSE305146_B17D2F_matrix.mtx.gz(3MB), GSE305146_B18C1P_barcodes.tsv.gz(14KB), GSE305146_B18C1P_features.tsv.gz(1MB), GSE305146_B18C1P_matrix.mtx.gz(13MB), GSE305146_B18C1S_barcodes.tsv.gz(25KB), GSE305146_B18C1S_features.tsv.gz(1MB), GSE305146_B18C1S_matrix.mtx.gz(26MB), GSE305146_B18C2M_barcodes.tsv.gz(58KB), GSE305146_B18C2M_features.tsv.gz(3MB), GSE305146_B18C2M_matrix.mtx.gz(142MB), GSE305146_B18D1Q_barcodes.tsv.gz(41KB), GSE305146_B18D1Q_features.tsv.gz(1MB), GSE305146_B18D1Q_matrix.mtx.gz(35MB), GSE305146_B18D1R_barcodes.tsv.gz(17KB), GSE305146_B18D1R_features.tsv.gz(1MB), GSE305146_B18D1R_matrix.mtx.gz(22MB), GSE305146_B18D2L_barcodes.tsv.gz(19KB), GSE305146_B18D2L_features.tsv.gz(2MB), GSE305146_B18D2L_matrix.mtx.gz(22MB), GSE305146_B20C1M_barcodes.tsv.gz(48KB), GSE305146_B20C1M_features.tsv.gz(2MB), GSE305146_B20C1M_matrix.mtx.gz(66MB), GSE305146_B20C2E_barcodes.tsv.gz(70KB), GSE305146_B20C2E_features.tsv.gz(1MB), GSE305146_B20C2E_matrix.mtx.gz(160MB), GSE305146_B20D1B_barcodes.tsv.gz(61KB), GSE305146_B20D1B_features.tsv.gz(2MB), GSE305146_B20D1B_matrix.mtx.gz(93MB), GSE305146_seur_integr_labelled_complete_dataset.rda.gz(8.7GB), GSE305146_seur_integr_labelled_exc_lin_PCW10_20.rda.gz(7.6GB)|neuroscience,development,epigenetics|Single-Cell Multiomic Atlas of Human Cortical Development in Down Syndrome - Fetal Cortex Multiome Dataset|caused extra copy chromosome most common genetic form intellectual disability affecting 700 live births1-3 increased dosage 200 protein-coding genes affects brain particularly cerebral area central|multiomics
GSE305145|other_multiomics|Homo sapiens|8|GSE305145_G13C1E_barcodes.tsv.gz(13KB), GSE305145_G13C1E_features.tsv.gz(2MB), GSE305145_G13C1E_matrix.mtx.gz(22MB), GSE305145_G21C1K_barcodes.tsv.gz(93KB), GSE305145_G21C1K_features.tsv.gz(2MB), GSE305145_G21C1K_matrix.mtx.gz(29MB), GSE305145_G24D3D_barcodes.tsv.gz(61KB), GSE305145_G24D3D_features.tsv.gz(3MB), GSE305145_G24D3D_matrix.mtx.gz(173MB), GSE305145_G24D4E_barcodes.tsv.gz(25KB), GSE305145_G24D4E_features.tsv.gz(2MB), GSE305145_G24D4E_matrix.mtx.gz(37MB), GSE305145_seur_with_ref_mapping_exc_lin.rda.gz(2.0GB), GSE305145_seur_with_ref_mapping.rda.gz(2.2GB)|neuroscience,development,epigenetics,hematopoiesis|Single-Cell Multiomic Atlas of Human Cortical Development in Down Syndrome - iPSC-derived Neural Xenografts Multiome Dataset|caused extra copy chromosome most common genetic form intellectual disability affecting 700 live births1-3 increased dosage 200 protein-coding genes affects brain particularly cerebral cortex area|multiomics
GSE237197|other_multiomics|Mus musculus|91|GSE237197_RAW.tar(21.5GB)|cancer,development,drug_response,cell_stress,signal_transduction|NSD2 targeting reverses plasticity and drug resistance in prostate cancer|Treatment highly potent androgen receptor signaling inhibitors ARSIs enzalutamide abiraterone promotes lineage metastatic castration-resistant mCRPC intra-tumor heterogeneity emergence subtypes|multiomics
GSE296492|other_multiomics|Homo sapiens|1|[GEO:BED, VCF]|cancer,epigenetics,aging,cell_stress,gene_regulation,signal_transduction|Single-cell mapping of regulatory DNA:Protein interactions II|Gene expression coordinated multitude transcription factors TFs whose binding genome directed multiple interconnected epigenetic signals chromatin accessibility histone modifications complex networks|multiomics
GSE285315|other_multiomics|Homo sapiens|12|GSE285315_RAW.tar(19.4GB)|cardiovascular,reproduction,hematopoiesis,plant_biology|Exploratory Study on the Mechanism of Left Ventricular Function Recovery After Left Ventricular Assist Device Implantation in Pediatric Dilated Cardiomyopathy|factors DCM following LVAD single-cell multiomics Twenty-five patients underwent bridge-to-transplant BTT-LVAD institution categorized either cases defined successful explantation sustained stability|multiomics
GSE312698|spatial_multiomics|Homo sapiens|4|[GEO:CSV, RDS]|immunology,aging,eye_vision,liver|NanoString CosMx SMI (human) on ten human MASLD samples|high-plex situ platform spatial multiomics formalin-fixed paraffin-embedded FFPE fresh frozen tissue cellular subcellular resolution integrated system mature cyclic fluorescent hybridization FISH|multiomics
GSE313072|other_multiomics|Homo sapiens|420|GSE313072_hashtags_used_per_sample.txt.gz(476B), GSE313072_RAW.tar(142.5GB), GSE313072_totalseqA_barcodes.csv.gz(1KB), GSE313072_totalseqAHashtag_barcodes.csv.gz(144B)|development,infectious_disease,drug_response|Selective infection and loss of PRDM1+ LN Tfh cells in uncontrolled HIV infection precludes formation of Tfh reservoirs under ART|multifaceted long-lived nature HIV-1 proven formidable obstacle development therapeutic cure One major dimensions prevalence persistence tissue environments lymph nodes Within follicular helper|multiomics
GSE312168|spatial_multiomics|Rattus norvegicus|1|[GEO:CSV, JPG, JSON, MTX, PNG, TSV]|development,metabolism,cell_stress,signal_transduction|Spatially resolved integrative analysis of transcriptomic and metabolomic changes in tissue injury studies|Recent developments omics enabled linking gene expression metabolite levels morphology offering new insights biological pathways capturing multiple modalities matched sections one better probe|multiomics
GSE313642|cite_seq|Homo sapiens|194|GSE313642_RAW.tar(1.9GB)|cancer,immunology,cardiovascular,metabolism,drug_response,cell_cycle,signal_transduction,liver|Immunosuppressive monocytes are enriched in hepatocellular carcinoma patients with liver dysfunction in a phase II trial of combination sorafenib and nivolumab [CITE-Seq]|Background aims Immune checkpoint inhibition ICI anti-angiogenic therapies active HCC impaired hepatic worse outcomes Methods conducted multi-center open-label clinical assess safety efficacy|multiomics
GSE312932|other_multiomics|Homo sapiens|10|[GEO:CSV, H5, PARQUET, TIFF]|cancer,immunology,cardiovascular,epigenetics,fibrosis_wound,skin,microbiology,cell_stress,signal_transduction|Spatial analyses of early, untreated SSc skin identify a proinflammatory vascular niche of macrophage-fibroblast signaling|Uncovering interactions distribution dermal fibroblasts immune cells treatment-naïve diffuse cutaneous systemic sclerosis dcSSc patients critical understanding initiating events fibrosis generated|multiomics
GSE312129|other_multiomics|Homo sapiens|38|GSE312129_RAW.tar(54.3GB)|cancer,immunology,cardiovascular,epigenetics,fibrosis_wound,skin,microbiology,cell_stress,signal_transduction|Single-nuclei multiome and spatial analyses of early, untreated SSc skin identify a proinflammatory vascular niche of macrophage-fibroblast signaling|Uncovering interactions distribution dermal fibroblasts immune cells treatment-naïve diffuse cutaneous systemic sclerosis dcSSc patients critical understanding initiating events fibrosis generated|multiomics
GSE313145|spatial_multiomics|Homo sapiens|156|[GEO:CSV]|cancer,immunology,lung_respiratory,rna_biology|Up-regulation of an epithelial miRNA is associated with immune evasion in progressive bronchial premalignant lesions [PCGA_miRNA_BX]|PMLs precursors lung squamous cell carcinoma distinct molecular subtypes proliferative subtype enriched dysplasia decreased expression antigen processing/presentation gene co-expression module|multiomics
GSE313144|spatial_multiomics|Homo sapiens|87|[GEO:CSV]|cancer,immunology,lung_respiratory,rna_biology|Up-regulation of an epithelial miRNA is associated with immune evasion in progressive bronchial premalignant lesions [PCGA_miRNA_BR]|PMLs precursors lung squamous cell carcinoma distinct molecular subtypes proliferative subtype enriched dysplasia decreased expression antigen processing/presentation gene co-expression module|multiomics
GSE266455|cite_seq|Homo sapiens|48|GSE266455_SCOPE_Samples_PID1052W0w1NOTHING_barcodes.tsv.gz(30KB), GSE266455_SCOPE_Samples_PID1052W0w1NOTHING_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID1052W0w1NOTHING_matrix.mtx.gz(35MB), GSE266455_SCOPE_Samples_PID1052W0w3HIV_barcodes.tsv.gz(32KB), GSE266455_SCOPE_Samples_PID1052W0w3HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID1052W0w3HIV_matrix.mtx.gz(38MB), GSE266455_SCOPE_Samples_PID1052W0w5HIV_barcodes.tsv.gz(29KB), GSE266455_SCOPE_Samples_PID1052W0w5HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID1052W0w5HIV_matrix.mtx.gz(34MB), GSE266455_SCOPE_Samples_PID1052W24w2NOTHING_barcodes.tsv.gz(32KB), GSE266455_SCOPE_Samples_PID1052W24w2NOTHING_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID1052W24w2NOTHING_matrix.mtx.gz(40MB), GSE266455_SCOPE_Samples_PID1052W24w4HIV_barcodes.tsv.gz(35KB), GSE266455_SCOPE_Samples_PID1052W24w4HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID1052W24w4HIV_matrix.mtx.gz(44MB), GSE266455_SCOPE_Samples_PID1052W24w6HIV_barcodes.tsv.gz(30KB), GSE266455_SCOPE_Samples_PID1052W24w6HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID1052W24w6HIV_matrix.mtx.gz(37MB), GSE266455_SCOPE_Samples_PID145W0w1HIV_barcodes.tsv.gz(53KB), GSE266455_SCOPE_Samples_PID145W0w1HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID145W0w1HIV_matrix.mtx.gz(79MB), GSE266455_SCOPE_Samples_PID145W0w2HIV_barcodes.tsv.gz(54KB), GSE266455_SCOPE_Samples_PID145W0w2HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID145W0w2HIV_matrix.mtx.gz(82MB), GSE266455_SCOPE_Samples_PID8026W0w5HIV_barcodes.tsv.gz(67KB), GSE266455_SCOPE_Samples_PID8026W0w5HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W0w5HIV_matrix.mtx.gz(85MB), GSE266455_SCOPE_Samples_PID8026W0w6HIV_barcodes.tsv.gz(63KB), GSE266455_SCOPE_Samples_PID8026W0w6HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W0w6HIV_matrix.mtx.gz(79MB), GSE266455_SCOPE_Samples_PID8026W0w7HIV_barcodes.tsv.gz(62KB), GSE266455_SCOPE_Samples_PID8026W0w7HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W0w7HIV_matrix.mtx.gz(80MB), GSE266455_SCOPE_Samples_PID8026W0w8HIV_barcodes.tsv.gz(60KB), GSE266455_SCOPE_Samples_PID8026W0w8HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W0w8HIV_matrix.mtx.gz(76MB), GSE266455_SCOPE_Samples_PID8026W24w1HIV_barcodes.tsv.gz(67KB), GSE266455_SCOPE_Samples_PID8026W24w1HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W24w1HIV_matrix.mtx.gz(86MB), GSE266455_SCOPE_Samples_PID8026W24w2HIV_barcodes.tsv.gz(62KB), GSE266455_SCOPE_Samples_PID8026W24w2HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W24w2HIV_matrix.mtx.gz(80MB), GSE266455_SCOPE_Samples_PID8026W24w3HIV_barcodes.tsv.gz(62KB), GSE266455_SCOPE_Samples_PID8026W24w3HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W24w3HIV_matrix.mtx.gz(78MB), GSE266455_SCOPE_Samples_PID8026W24w4HIV_barcodes.tsv.gz(59KB), GSE266455_SCOPE_Samples_PID8026W24w4HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8026W24w4HIV_matrix.mtx.gz(75MB), GSE266455_SCOPE_Samples_PID8027W0w1NOTHING_barcodes.tsv.gz(27KB), GSE266455_SCOPE_Samples_PID8027W0w1NOTHING_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W0w1NOTHING_matrix.mtx.gz(36MB), GSE266455_SCOPE_Samples_PID8027W0w2NOTHING_barcodes.tsv.gz(34KB), GSE266455_SCOPE_Samples_PID8027W0w2NOTHING_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W0w2NOTHING_matrix.mtx.gz(46MB), GSE266455_SCOPE_Samples_PID8027W0w5HIV_barcodes.tsv.gz(38KB), GSE266455_SCOPE_Samples_PID8027W0w5HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W0w5HIV_matrix.mtx.gz(52MB), GSE266455_SCOPE_Samples_PID8027W0w6HIV_barcodes.tsv.gz(33KB), GSE266455_SCOPE_Samples_PID8027W0w6HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W0w6HIV_matrix.mtx.gz(45MB), GSE266455_SCOPE_Samples_PID8027W45w3NOTHING_barcodes.tsv.gz(33KB), GSE266455_SCOPE_Samples_PID8027W45w3NOTHING_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W45w3NOTHING_matrix.mtx.gz(41MB), GSE266455_SCOPE_Samples_PID8027W45w4NOTHING_barcodes.tsv.gz(31KB), GSE266455_SCOPE_Samples_PID8027W45w4NOTHING_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W45w4NOTHING_matrix.mtx.gz(39MB), GSE266455_SCOPE_Samples_PID8027W45w7HIV_barcodes.tsv.gz(28KB), GSE266455_SCOPE_Samples_PID8027W45w7HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W45w7HIV_matrix.mtx.gz(34MB), GSE266455_SCOPE_Samples_PID8027W45w8HIV_barcodes.tsv.gz(23KB), GSE266455_SCOPE_Samples_PID8027W45w8HIV_features.tsv.gz(326KB), GSE266455_SCOPE_Samples_PID8027W45w8HIV_matrix.mtx.gz(27MB)|development,infectious_disease|hiv-seq reveals global host gene expression differences between hiv-transcribing cells from viremic and suppressed people with hiv|aimed improve identification active reservoir producing individuals undergoing antiretroviral therapy ART developed technique called enhance efficiency capturing transcripts single-cell RNA|multiomics
GSE292095|other_multiomics|Homo sapiens|12|GSE292095_RAW.tar(5.2GB)|cancer,immunology,infectious_disease,fibrosis_wound,cell_stress,signal_transduction|NFAT Mediates Pro-Tumorigenic Inflammation in Cancer-Associated Fibroblasts in Pancreatic Ductal Adenocarcinoma [human multiome]|PDAC characterized dense stroma low immunogenicity resistance therapy CAFs key stromal cells within microenvironment TME drive progression Interleukin-1 IL-1 promotes fibrosis pathogenic poor|multiomics
GSE292094|other_multiomics|Mus musculus|8|GSE292094_RAW.tar(7.3GB)|cancer,immunology,infectious_disease,fibrosis_wound,cell_stress,signal_transduction|NFAT Mediates Pro-Tumorigenic Inflammation in Cancer-Associated Fibroblasts in Pancreatic Ductal Adenocarcinoma [mouse multiome]|PDAC characterized dense stroma low immunogenicity resistance therapy CAFs key stromal cells within microenvironment TME drive progression Interleukin-1 IL-1 promotes fibrosis pathogenic poor|multiomics
GSE245710|other_multiomics|Mus musculus|2|GSE245710_barcodes.tsv.gz(73KB), GSE245710_features.tsv.gz(5MB), GSE245710_matrix.mtx.gz(636MB)|development|scMulti-omics of E7.0 mouse embryos|single cell Multiome ATAC Gene Expression sequencing analyze|multiomics
GSE253891|spatial_multiomics|Cunninghamia lanceolata|3|GSE253891_RAW.tar(14MB)|development,reproduction,plant_biology,cell_stress|Single-cell and spatial omics reveal progressive loss of xylem developmental complexity across seed plants|Secondary growth key characteristic evolved generates most abundant tissue Earth Recent uncovered lineages eudicots magnoliids angiosperms gymnosperms other representative clade remained elusive|multiomics
GSE308132|other_multiomics|Homo sapiens|0|GSE308132_supplementary_table.txt.gz(12KB)|neuroscience,epigenetics,infectious_disease,cell_stress|Single-cell multi-omic and multi-region atlas of the Human Alzheimer's Disease Brain|leading cause dementia driven complex molecular alterations disrupt neural glial precise epigenomic chromatin regulatory changes pathogenesis across different regions incompletely understood address|multiomics
GSE305314|other_multiomics|Rattus norvegicus|28|GSE305314_RAW.tar(28.4GB)|neuroscience,signal_transduction|Intercellular signaling and synaptic deconstruction uncovered by single-cell and spatial transcriptomics in an AD tauopathy model|Alzheimer disease leading cause dementia elderly individuals worldwide onset progression fully understood report multiome brain transgenic rat human-like advanced new markers tau-driven pathology|multiomics
GSE290161|cite_seq|Mus musculus|8|GSE290161_feature_reference.csv.gz(3KB), GSE290161_LSC001_raw_feature_matrix.h5(183MB), GSE290161_LSC002_raw_feature_matrix.h5(180MB), GSE290161_LSC003_raw_feature_matrix.h5(165MB), GSE290161_LSC004_raw_feature_matrix.h5(166MB)|cancer,immunology,infectious_disease,lung_respiratory|Immune profiling of the lung in Influenza-Associated Pulmonary Aspergillosis using CITE-seq|IAPA severe fungal superinfection affecting critically patients Current treatments target pathogens address dysregulated host responses drive morbidity Host-directed immunotherapies overcome|multiomics
GSE255903|cite_seq|Macaca mulatta|16|GSE255903_feature_reference.csv.gz(380B), GSE255903_RAW.tar(90MB)|immunology,infectious_disease|Primate resident memory T cells activate humoral and stromal immunity [CITE-seq]|CD8 Trm comprise small population frontline sentinels large tissues surveil make outsized contributions immune protection infection understood interrogated primates intravenous immunization macaques|multiomics
GSE269680|spatial_multiomics|Mus musculus|15|GSE269680_RAW.tar(73.7GB)|cancer,development,drug_response,cell_cycle,signal_transduction|CDK8 remodels the tumor microenvironment to resist the therapeutic efficacy of targeted KRASG12D inhibition in pancreatic ductal adenocarcinoma (spatial)|Mutations dominant driver PDAC over patients presenting recent development small molecule inhibitors targeting enabled effective mutant signaling suppression contribution TME mechanism/s resistance|multiomics
GSE269679|spatial_multiomics|Mus musculus|9|GSE269679_RAW.tar(493MB)|cancer,development,drug_response,cell_cycle,signal_transduction|CDK8 remodels the tumor microenvironment to resist the therapeutic efficacy of targeted KRASG12D inhibition in pancreatic ductal adenocarcinoma (scRNA)|Mutations dominant driver PDAC over patients presenting recent development small molecule inhibitors targeting enabled effective mutant signaling suppression contribution TME mechanism/s resistance|multiomics
GSE311344|cite_seq|Mus musculus|15|GSE311344_cell_metadata.tsv.gz(95KB), GSE311344_cells.tsv.gz(79KB), GSE311344_feature_reference.csv.gz(2KB), GSE311344_genes.tsv.gz(191KB), GSE311344_matrix_protein.mtx.gz(7MB), GSE311344_matrix_rna.mtx.gz(99MB), GSE311344_proteins.tsv.gz(790B)|cancer,immunology,skin,reproduction,plant_biology,cell_cycle|T cells in B16 tumor model with ACT and checkpoint blockade - scRNA-seq, CITE-seq and TCRab [i35]|part immgenT Open Source Project specifically IGT35 focuses characterizing gp33 melanoma following adoptive therapy immune isolated tumors draining inguinal lymph nodes C57BL/6J male mice weeks old|multiomics
GSE278892|cite_seq|Mus musculus|3|GSE278892_BFPRFP_barcodes.tsv.gz(31KB), GSE278892_BFPRFP_feature_README.txt(1KB), GSE278892_BFPRFP_features.tsv.gz(193KB), GSE278892_BFPRFP_matrix.mtx.gz(69MB)|development,skin|CITEseq of migratory nLCncDC1 of skin-draining lymph nodes from MC903-treated mice|Characterization OX40L-expressing Siglech-lineage tracing|multiomics
GSE249497|other_multiomics|Homo sapiens|17|GSE249497_RAW.tar(31.4GB)|cancer,development,epigenetics,gene_regulation|Developmental cell type specific enhancers in orofacial morphology and disease [human]|noncoding genome contains sequences called facilitate expression target genes recruitment binding transcription factors typically active stage tissue type-specific patterns whereby control|multiomics
GSE249496|other_multiomics|Mus musculus|24|GSE249496_RAW.tar(14.2GB)|cancer,development,epigenetics,gene_regulation|Developmental cell type specific enhancers in orofacial morphology and disease [mouse]|noncoding genome contains sequences called facilitate expression target genes recruitment binding transcription factors typically active stage tissue type-specific patterns whereby control|multiomics
GSE298008|other_multiomics|Mus musculus|12|GSE298008_ATAC_counts_matrix.mtx.gz(529MB), GSE298008_ATAC_regions.tsv.gz(2MB), GSE298008_barcodes.tsv.gz(75KB), GSE298008_cell_metadata.csv.gz(1MB), GSE298008_genes.tsv.gz(115KB), GSE298008_RNA_counts_matrix.mtx.gz(149MB), GSE298008_SCT_counts_matrix.mtx.gz(137MB)|cancer,neuroscience,development,epigenetics|Stage-specific Epigenetic Priming Amplifies Gene Activation During Lineage Commitment [Multiome]|Neural progenitor cells exhibit developmental plasticity able different trajectories response external stimuli decisions stabilized molecular level highly active area research One way stably|multiomics
GSE311175|other_multiomics|Mus musculus|4|GSE311175_RAW.tar(4.3GB)|immunology,development,epigenetics,lung_respiratory,gene_regulation|Single-cell Multiomics Analysis Reveals CTCF as a Key Regulator of Lung Morphogenesis and Progenitor Maintenance|development generates complex tree-like architecture proximal-distal patterning branching regulatory programs governing embryonic poorly understood present comprehensive multi-omics atlas mouse lungs|multiomics
